日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,IDM,IDM印,脚質,騎手名,斤量,調教師,所属,基準単勝,基準複勝,source_url,source_status
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,12,クリニクラウン,59,△,追,菊沢一[替],56,小手川,美,33.8,7,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,1,ボーンディスウェイ,65,注,差,丸山元,57,牧光二,美,32,6.2,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,2,サヴォーナ,64,△,差,池添謙,57,中竹和,栗,15.7,3.4,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,3,ロデオドライブ,70,○,差,ルメー[替],57,辻哲英,美,3.9,1.5,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,4,ドゥレッツァ,64,,差,田辺裕[替],59,尾関知,美,8.8,2.4,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,5,ゾロアストロ,64,▽,差,岩田望,55,宮田敬,美,5,1.6,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,6,チェルヴィニア,63,,差,津村明[替],56,木村哲,美,14.6,3.2,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,7,ジュンブロッサム,61,,追,杉原誠[替],58,友道康,栗,26.9,5.3,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,8,ダノンシーマ,72,◎,差,川田将,57,中内田,栗,2.8,1.3,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,9,アーバンシック,64,,追,三浦皇,59,武井亮,美,13.1,2.9,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,10,バレエマスター,57,,追,菊沢一,57,梅田智,栗,24.4,4.9,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,11,ステレンボッシュ,66,▲,差,戸崎圭[替],56,宮田敬,美,9.2,2.5,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,1,カレンデュラ,55,▲,先,嶋田純[替],54,室井潔,美,4.3,1.6,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,2,サトノアルペジオ,42,,差,ミシェ[替],58,大和田,美,57.7,10.7,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,3,ゼンダンタカ,53,△,先,杉原誠,56,中舘英,美,32.5,6.5,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,4,フレッシュラン,35,,差,石田拓[替],56,尾形和,美,108,19.3,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,5,ファイツオン,56,◎,逃,三浦皇[替],58,藤岡健,栗,17.3,3.8,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,6,エリカカリーナ,46,,逃,原優介[替],56,宮田敬,美,16.5,3.7,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,7,リュウノタブーク,47,,差,上里直[替],56,伊坂重,美,65.3,12,https://jrdb.com/member/n_live_20260830_04263409.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
