日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,馬トク指数,IDM,激走指数,激印,激走要因1,激走要因2,激走要因3,基準単オッズ,基準人気,馬体重,増減,波乱度,1番人気信頼度,1番人気妙味度,source_url,source_status
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,12,ネオアンボウ,44,27,43.98,0,,,,66,15,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,13,ウインテラジーナ,58.3,42,56.34,0,,,,5.1,3,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,14,ワインレッドハート,29,10,30.49,0,,,,57.1,13,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,15,ルディドゥゲンジ,54,39.2,50.16,0,,,,39,10,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,16,ペルウィクトール,65.3,40.7,55.76,2,,,,5.4,4,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,17,エイシンイクサボシ,53,39,52.37,0,,,,32,8,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,18,ミクロスギガース,53,39.1,52.97,0,,,,39.1,11,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,1,ピコシー,51,52,51.07,0,,,,21.6,8,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,2,ビービーアジャイル,61.6,55.9,57.47,0,,,,2.5,1,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,3,オクトーバーナイン,68.4,58,53.24,0,,,,4.5,2,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,4,ニシノケンタマン,58.2,56,53.15,3,,,,8.6,4,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,5,コパノエビータ,39,43,42.17,0,,,,93.4,14,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,6,アルベリック,44,46,50.42,0,,,,33.7,9,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,7,トゥーザムーン,49.1,50,51.09,0,,,,11.1,5,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,8,スターシップ,63.3,57,52.6,0,,,,5.1,3,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,9,ヴァイヴァーイ,51.1,51.9,51.69,4,,,,13.5,7,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,10,フラッシング,44,46,49.11,0,,,,60.4,12,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,11,ジェーケーボンバー,39,40,37.44,0,,,,126,15,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,12,マハナ,39,43,43.25,0,,,,65,13,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,13,クロドラバール,39,43,43.45,0,,,,39.9,10,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,14,コスモコンフェルマ,61.1,59,54.65,2,,,,12.9,6,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,15,ノルドヴェスト,43,42.9,38.08,0,,,,43.9,11,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263406/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,1,シャドウメテオ,50.2,57.2,52.14,3,,,,7.6,5,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,2,ウインデイジー,47,57.1,50.96,0,,,,13.9,6,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,3,チャリングクロス,55.5,59.1,51.77,0,,,,3.3,1,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,4,シュバルツマサムネ,45,56,49.88,0,,,,37.4,11,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,5,サダムオプシス,62.3,63,54.12,0,,,,4.2,3,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,6,ナムラフッカー,45,57,49.52,0,,,,50.6,12,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,7,オストラヴァ,56.5,60.1,52.77,0,,,,4,2,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,8,ベンサレム,30,49.7,46.7,0,,,,20.6,7,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,9,タイセイフェリーク,40,54.1,47.85,0,,,,31.7,8,,,A,C,S,https://umatoku.hochi.co.jp/data/race/04263407/previous,PASS_EMBEDDED_JSON
