日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,コンピ順位,コンピ指数,コンピ元表示,source_url,source_status
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,2,ウインデイジー,6,52,"2
52",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,3,チャリングクロス,2,67,"3
67",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,4,シュバルツマサムネ,7,51,"4
51",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,5,サダムオプシス,4,62,"5
62",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,6,ナムラフッカー,12,46,"6
46",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,7,オストラヴァ,1,80,"7
80",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,8,ベンサレム,9,49,"8
49",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,9,タイセイフェリーク,10,48,"9
48",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,10,サトノパトリオット,3,64,"10
64",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,11,リンフレスカンテ,8,50,"11
50",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,12,クリニクラウン,11,47,"12
47",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,1,ボーンディスウェイ,10,47,"1
47",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,2,サヴォーナ,11,46,"2
46",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,3,ロデオドライブ,2,66,"3
66",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,4,ドゥレッツァ,5,56,"4
56",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,5,ゾロアストロ,3,65,"5
65",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,6,チェルヴィニア,7,54,"6
54",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,7,ジュンブロッサム,8,49,"7
49",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,8,ダノンシーマ,1,86,"8
86",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,9,アーバンシック,4,57,"9
57",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,10,バレエマスター,9,48,"10
48",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,11,ステレンボッシュ,6,55,"11
55",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,1,カレンデュラ,2,67,"1
67",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,2,サトノアルペジオ,18,40,"2
40",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,3,ゼンダンタカ,9,52,"3
52",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,4,フレッシュラン,12,47,"4
47",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
