日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,基準単勝,基準複勝,オッズ種別,source_url,source_status
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,7,トゥーザムーン,11.1,2.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,8,スターシップ,5.1,1.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,9,ヴァイヴァーイ,13.5,3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,10,フラッシング,60.4,10.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,11,ジェーケーボンバー,126,21.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,12,マハナ,65,11.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,13,クロドラバール,39.9,7.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,14,コスモコンフェルマ,12.9,2.9,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,15,ノルドヴェスト,43.9,8.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,1,シャドウメテオ,7.6,2.3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,2,ウインデイジー,13.9,3.3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,3,チャリングクロス,3.3,1.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,4,シュバルツマサムネ,37.4,7.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,5,サダムオプシス,4.2,1.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,6,ナムラフッカー,50.6,10.1,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,7,オストラヴァ,4,1.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,8,ベンサレム,20.6,4.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,9,タイセイフェリーク,31.7,6.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,10,サトノパトリオット,5.3,1.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,11,リンフレスカンテ,33.9,7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,12,クリニクラウン,33.8,7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,1,ボーンディスウェイ,32,6.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,2,サヴォーナ,15.7,3.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,3,ロデオドライブ,3.9,1.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,4,ドゥレッツァ,8.8,2.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,5,ゾロアストロ,5,1.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,6,チェルヴィニア,14.6,3.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,7,ジュンブロッサム,26.9,5.3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263408.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
