日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,枠,印,性齢,斤量,騎手,最高指数,5走平均,距離指数,コース指数,3走,2走,前走,単勝オッズ,人気,source_url,source_status
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,3,ルーナディサングエ,2,--,牡3,55,菅原隆一,100,84,100,86,100,82,86,3.5,1,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,4,ヨドノタイヨウ,3,--,牡4,58,松山弘平,79,59,84,84,67,51,79,15.2,6,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,5,トレベルオール,3,--,牡5,58,大野拓弥,-,-,60,未,87,99,80,8.6,4,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,6,ルシャルムール,4,--,セ4,58,原優介,104,90,104,未,91,88,84,5,3,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,7,アバレリュウ,4,--,牡4,58,野中悠太郎,76,76,82,82,73,74,76,13.7,5,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,8,アビヤント,5,--,牡3,55,三浦皇成,81,81*,81,未,-,69,81,4.2,2,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,9,ゴットランド,5,--,牡4,58,岩田康誠,85,68,82,77,67,75,44,46.2,12,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,10,リアライズオーラム,6,--,セ4,58,石橋脩,86,79*,87,未,72,88,87,21.5,9,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,11,ヴェーヌドール,6,--,牡4,58,菊沢一樹,84,72,79,未,72,84,81,65.1,13,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,12,サウジバラード,7,--,牡3,55,丸山元気,78,67*,78,未,-,68,78,20.4,8,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,13,マルカベント,7,--,牡4,58,小林脩斗,56,42,73,73,55,25,46,82.6,14,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
