場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
美浦,D,左,20260820,木,5:03,トリエンナーレ,,牝,3,0,森一誠,,,,,83.6,67.5,52.8,37.7,23.9,11.8,,,,16.1,14.7,15.1,13.8,12.1,11.8,2023103779,2026.8.20,美浦,マインドユアビスケッツ,サンヴァンサン,社台レースホース,社台コーポレーション白老ファーム,,
美浦,D,左,20260820,木,5:03,ルージュフローラ,,牝,3,0,森一誠,,,,,82.6,67.5,51.9,36.2,22.9,11.2,,,,15.1,15.6,15.7,13.3,11.7,11.2,2023105416,2026.8.20,美浦,モーリス,レッドアウローラ,東京ホースレーシング,オカモトファーム,,
美浦,D,左,20260820,木,5:03,モウエエデショー,,牡,3,400,萱野浩二,,,,,89.0,70.4,54.5,39.4,24.5,11.0,,,,18.6,15.9,15.1,14.9,13.5,11.0,2023105433,2026.8.20,美浦,ダノンプレミアム,フルオブドリームズ,大田恭充,アフリートファーム,,
美浦,D,左,20260820,木,5:03,ノアヴェルテ,,牡,2,未出走,中舘英二,,,,,86.2,67.1,51.7,37.3,24.2,12.1,,,,19.1,15.4,14.4,13.1,12.1,12.1,2024101356,2026.8.20,美浦,マテラスカイ,ノアブリジット,佐山公男,清水牧場,,
美浦,D,左,20260820,木,5:03,エンジャムメント,,牝,2,未出走,中舘英二,,,,,84.7,66.9,52.0,37.7,24.2,12.0,,,,17.8,14.9,14.3,13.5,12.2,12.0,2024105733,2026.8.20,美浦,マインドユアビスケッツ,アムールポエジー,社台レースホース,社台ファーム,,
美浦,D,左,20260820,木,5:03,ハーモニープルーフ,,牝,2,未出走,森一誠,,,,,84.3,67.7,52.9,37.8,24.0,11.8,,,,16.6,14.8,15.1,13.8,12.2,11.8,2024106320,2026.8.20,美浦,ナダル,ゴールデンプルーフ,サンデーレーシング,ノーザンファーム,,
美浦,D,左,20260820,木,5:03,イズミル,,牡,2,未出走,中舘英二,,,,,85.9,67.1,51.5,37.3,24.2,12.1,,,,18.8,15.6,14.2,13.1,12.1,12.1,2024106845,2026.8.20,美浦,"New Bay",トーセンギフト,島川隆哉,エスティファーム,,
美浦,D,左,20260820,木,5:03,ショウナンラプソ,,牡,2,未出走,森一誠,,,,,82.6,67.4,51.8,36.2,22.8,11.1,,,,15.2,15.6,15.6,13.4,11.7,11.1,2024107160,2026.8.20,美浦,モーリス,パンデリング,国本哲秀,レイクヴィラファーム,,
美浦,D,左,20260820,木,5:06,ポンテヴェッキオ,,牡,3,0,栗田徹,,,,,86.0,67.8,52.1,37.7,24.4,12.0,,,,18.2,15.7,14.4,13.3,12.4,12.0,2023105242,2026.8.20,美浦,フィレンツェファイア,ソウルフルヴォイス,村野康司,社台ファーム,,
美浦,D,左,20260820,木,5:06,ショウナンバッカス,,牡,2,未出走,栗田徹,,,,,84.4,66.5,51.1,36.9,23.9,11.8,,,,17.9,15.4,14.2,13.0,12.1,11.8,2024101299,2026.8.20,美浦,スワーヴリチャード,アトロポス,湘南,若林順一,,
美浦,D,左,20260820,木,5:06,コスモコリウス,,牡,2,未出走,栗田徹,,,,,83.8,66.2,51.0,36.9,24.0,12.0,,,,17.6,15.2,14.1,12.9,12.0,12.0,2024103620,2026.8.20,美浦,ベンバトル,フライングメリッサ,ビッグレッドファーム,ビッグレッドファーム,,
美浦,D,左,20260820,木,5:07,ペルウィクトール,,牡,3,0,宮田敬介,,,,,,,52.8,36.0,22.6,10.9,,,,,,16.8,13.4,11.7,10.9,2023106886,2026.8.20,美浦,サートゥルナーリア,ウィクトーリア,シルクレーシング,ノーザンファーム,,
美浦,D,左,20260820,木,5:10,マイネルメサイア,,牡,7,900,水野貴広,,,,,85.3,68.4,53.1,38.6,24.9,12.2,,,,16.9,15.3,14.5,13.7,12.7,12.2,2019100788,2026.8.20,美浦,ゴールドシップ,マイネソルシエール,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,,
美浦,D,左,20260820,木,5:10,アーバンシック,,牡,5,14400,武井亮,160.9,137.6,117.2,97.4,80.7,66.1,51.3,37.1,23.6,11.5,20.4,19.8,16.7,14.6,14.8,14.2,13.5,12.1,11.5,2021105436,2026.8.20,美浦,スワーヴリチャード,エッジースタイル,シルクレーシング,ノーザンファーム,,
美浦,D,左,20260820,木,5:10,ゲンパチルーナ,,牝,4,900,西田雄一,,,,,85.0,68.7,52.6,37.9,24.4,12.0,,,,16.3,16.1,14.7,13.5,12.4,12.0,2022100887,2026.8.20,美浦,ブリックスアンドモルタル,ディナシー,平野武志,前川勝春,,
美浦,D,左,20260820,木,5:10,ボウウィンドウ,,牝,4,900,武井亮,162.4,138.5,118.2,98.2,81.2,66.7,51.8,37.4,23.8,11.4,20.3,20.0,17.0,14.5,14.9,14.4,13.6,12.4,11.4,2022105002,2026.8.20,美浦,サートゥルナーリア,フローレスマジック,吉田和美,ノーザンファーム,,
美浦,D,左,20260820,木,5:10,マルカベント,,牡,4,200,浅利英明,,,,,82.7,65.1,50.3,35.9,23.1,11.2,,,,17.6,14.8,14.4,12.8,11.9,11.2,2022105362,2026.8.20,美浦,ドレフォン,ジッパーレーン,日下部猛,社台ファーム,,
美浦,D,左,20260820,木,5:10,ソルティアーラ,,牝,3,0,西田雄一,,,,,83.9,67.7,51.9,37.2,24.3,12.0,,,,16.2,15.8,14.7,12.9,12.3,12.0,2023100743,2026.8.20,美浦,タワーオブロンドン,ルナティアーラ,DMMドリームクラブ,オリオンファーム,,
美浦,D,左,20260820,木,5:10,アグネスブリッツ,,牝,3,0,和田勇介,,,,,87.6,69.7,53.3,39.2,25.5,12.4,,,,17.9,16.4,14.1,13.7,13.1,12.4,2023102143,2026.8.20,美浦,フォーウィールドライブ,アグネスフェアリー,渡辺公美子,富田牧場,,
美浦,D,左,20260820,木,5:10,スリーコーズ,,牡,3,400,伊藤圭三,,,,,88.5,70.0,53.9,39.3,25.2,11.9,,,,18.5,16.1,14.6,14.1,13.3,11.9,2023106208,2026.8.20,美浦,スズカコーズウェイ,スズカローラー,永井商事,辻牧場,,
美浦,D,左,20260820,木,5:10,ノーウェアマン,,牡,3,400,浅利英明,,,,,83.2,65.6,50.7,36.2,23.4,11.3,,,,17.6,14.9,14.5,12.8,12.1,11.3,2023106694,2026.8.20,美浦,シルバーステート,サトノアスカ,安齋廣行,山田牧場,,
美浦,D,左,20260820,木,5:10,タイダルロック,,牡,3,1500,武井亮,160.1,137.7,117.0,97.2,80.5,65.6,51.1,36.9,23.6,11.7,20.7,19.8,16.7,14.9,14.5,14.2,13.3,11.9,11.7,2023106861,2026.8.20,美浦,モーリス,アースライズ,サンデーレーシング,ノーザンファーム,,
美浦,D,左,20260820,木,5:10,ポッドビート,,牡,2,未出走,伊藤圭三,,,,,88.0,69.7,53.8,39.3,25.2,11.9,,,,18.3,15.9,14.5,14.1,13.3,11.9,2024108315,2026.8.20,美浦,Nashville,"Kiss Me",小川眞査雄,"TFVM Farm LLC",,
美浦,D,左,20260820,木,5:12,マイネルウルカヌス,,牡,2,未出走,畠山吉宏,,,,,85.2,68.6,53.6,38.7,24.3,11.8,,,,16.6,15.0,14.9,14.4,12.5,11.8,2024103606,2026.8.20,美浦,ゴールドシップ,ソスピタ,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,,
美浦,D,左,20260820,木,5:12,マリノフスキー,,牡,2,未出走,畠山吉宏,,,,,86.1,69.6,54.4,39.3,24.8,12.0,,,,16.5,15.2,15.1,14.5,12.8,12.0,2024104214,2026.8.20,美浦,フィレンツェファイア,ヒストリアドリーム,風早信昭,岡田牧場,,
美浦,D,左,20260820,木,5:17,グロッシェン,,牡,5,1500,手塚貴徳,,,,,84.4,68.3,53.2,38.2,24.3,11.7,,,,16.1,15.1,15.0,13.9,12.6,11.7,2021104844,2026.8.20,美浦,ニューイヤーズデイ,キャットコイン,社台レースホース,社台コーポレーション白老ファーム,,
